topics,score
1.0,-1.4221266390141167
2.0,-2.0486463231586054
3.0,-1.7834387165045251
4.0,-2.09696637111962
5.0,-3.972425635416101
6.0,-6.673097196236847
7.0,-8.07036104787726
8.0,-6.004224104800245
9.0,-8.091841623872444
10.0,-9.19117921760156
11.0,-8.292242488635255
12.0,-11.522331261896525
13.0,-10.784925049897966
14.0,-10.06591655926466
15.0,-14.710985161325633
16.0,-9.769491891238207
17.0,-10.115106059978851
18.0,-11.29727207411694
19.0,-15.053670583243234
20.0,-12.629192918571837
21.0,-9.967185561518335
22.0,-11.82577901339288
23.0,-12.1427083422926
24.0,-14.645167967170696
25.0,-13.533043669051954
26.0,-12.667702603349216
27.0,-14.610952084742568
28.0,-13.807841202474716
29.0,-13.22585749865098
30.0,-13.964513021611998
31.0,-12.63352551046252
32.0,-14.29653436243155
33.0,-14.871883729792753
34.0,-14.481034859376015
35.0,-14.530179169758613
36.0,-15.565224808485134
37.0,-12.565194452043253
38.0,-14.011468255164841
39.0,-14.407036035111215
40.0,-13.714603021595433
